ID,Promotion,purchase,V1,V2,V3,V4,V5,V6,V7
1,No,0,2,30.4435178,-1.1650834,1,1,3,2
3,No,0,3,32.1593501,-0.6456167,2,3,2,2
4,No,0,2,30.4316591,0.13358341,1,1,4,2
5,No,0,0,26.5889141,-0.2127277,2,1,4,2
8,Yes,0,3,28.0443315,-0.3858833,1,1,2,2
9,No,0,1,41.1894153,-0.90535,2,4,4,1
11,No,0,1,40.6904089,1.08593908,2,2,1,2
14,No,0,2,25.9715294,-1.4248168,1,3,3,2
15,Yes,0,2,31.9304234,0.39331678,2,3,1,2
16,No,0,1,27.4746502,0.56647235,2,2,3,2
17,Yes,0,1,32.7709162,-1.5113946,2,1,4,1
18,No,0,2,32.714953,-1.4248168,1,1,2,1
20,Yes,0,1,36.9570095,0.13358341,2,3,1,1
21,No,0,2,18.9826896,-1.5113946,1,2,3,1
22,Yes,0,3,36.9117142,-0.90535,2,2,4,1
23,No,0,0,30.4926259,-0.2127277,2,1,2,2
24,Yes,0,1,35.0409197,-0.90535,2,4,2,2
25,No,0,1,25.4348771,0.73962793,2,2,1,2
27,Yes,0,1,35.6327513,-0.2127277,1,2,4,1
28,Yes,0,2,26.3287081,1.60540581,2,4,2,2
30,No,0,1,26.1494623,-1.2516612,1,3,1,2
31,Yes,0,2,38.246141,1.51882802,2,3,2,2
36,No,0,0,26.4741518,0.2201612,2,4,1,2
37,No,0,1,33.6232048,-0.12615,2,3,4,2
38,No,0,1,32.0413456,-1.6845501,2,3,3,1
39,Yes,0,1,31.3394749,-0.9919278,2,2,1,1
41,No,0,1,34.1862277,-1.2516612,2,4,4,2
42,Yes,0,1,35.5065808,-0.6456167,2,1,2,2
44,No,0,3,37.4550253,-0.12615,2,3,2,2
45,No,0,2,25.2672524,-0.90535,2,4,3,2
46,Yes,0,2,25.4504465,-0.9919278,2,1,1,2
48,Yes,0,3,32.4317926,-1.1650834,2,2,4,1
49,No,0,2,25.9434138,-0.5590389,2,2,4,1
50,Yes,0,1,29.1823722,-0.12615,1,3,2,1
51,No,0,2,37.3336317,0.13358341,1,4,4,1
54,Yes,0,1,35.3109102,-0.5590389,2,3,3,2
56,No,0,2,30.5471745,1.6919836,1,1,3,2
57,Yes,0,1,34.0556141,0.13358341,1,2,4,1
58,No,0,2,43.3428061,0.82620572,1,1,4,2
59,No,0,1,34.2595321,0.99936129,2,1,2,2
60,No,0,0,29.8286747,-0.4724611,2,2,4,2
61,Yes,0,3,22.8428322,-0.6456167,2,3,4,2
62,Yes,0,3,32.5266697,0.73962793,2,1,4,1
63,Yes,0,3,31.3761815,0.04700562,1,2,4,2
65,No,0,2,19.9526017,-0.4724611,1,3,1,2
67,No,0,3,39.2094402,-1.6845501,2,4,4,1
68,No,0,2,26.3334206,-0.12615,1,2,4,2
70,No,0,2,28.1126348,-1.338239,2,2,4,1
71,No,0,2,34.854338,-1.5979723,2,3,1,2
73,No,0,1,29.8795409,0.39331678,2,2,2,2
74,No,0,2,38.7095005,0.30673899,2,3,2,1
75,Yes,0,0,23.4023819,-0.90535,1,3,3,2
77,Yes,0,1,27.8883779,-1.2516612,2,3,4,1
78,Yes,0,3,23.6025016,-1.338239,2,2,1,1
79,No,0,1,39.1707055,0.30673899,2,2,2,2
81,Yes,0,2,38.0128262,-0.0395722,2,3,3,2
83,Yes,0,3,28.853403,1.34567245,1,1,2,2
84,Yes,0,1,30.5192263,-1.5979723,2,3,3,2
85,No,0,2,32.1612985,0.91278351,2,3,4,2
87,No,0,1,38.0958132,1.08593908,2,2,3,2
89,No,0,2,33.2808069,0.73962793,2,2,1,1
90,Yes,0,2,32.0726412,-0.4724611,2,1,1,1
91,No,0,3,26.1724156,0.56647235,1,3,2,2
92,No,0,2,29.3727624,-1.338239,2,1,4,2
93,No,0,2,33.0178067,1.60540581,1,3,3,2
94,No,0,1,23.4020499,-1.338239,1,3,1,2
95,No,0,1,33.6014656,0.99936129,1,3,3,2
97,No,0,3,29.0004177,-0.8187723,2,2,1,1
99,Yes,0,2,29.8972682,0.30673899,2,4,2,2
100,No,0,0,26.0939403,-0.9919278,2,2,4,1
101,Yes,0,3,25.5135113,1.34567245,2,1,4,2
102,Yes,0,1,38.0482228,-0.9919278,2,4,1,1
105,Yes,0,1,32.0654073,-0.2127277,2,4,3,2
106,No,0,0,32.004874,-0.90535,1,3,4,2
107,Yes,0,2,30.022521,-0.0395722,1,3,3,2
108,Yes,0,1,40.9623373,-0.5590389,2,1,1,2
110,Yes,0,2,26.9394006,-0.90535,2,2,4,1
112,Yes,0,2,29.9824639,0.2201612,2,2,1,1
113,No,0,2,28.6555767,-1.5113946,2,3,4,2
114,Yes,0,1,37.9712488,-1.2516612,2,1,3,2
116,No,0,1,29.264723,1.43225023,2,1,4,2
117,No,0,1,33.4356628,-1.6845501,2,2,4,1
118,Yes,0,2,36.9365951,0.13358341,2,2,3,2
120,Yes,0,2,35.1492022,-1.338239,2,3,1,2
121,Yes,0,2,18.0822983,-1.2516612,1,4,2,2
122,No,0,1,30.2883142,-1.4248168,1,2,1,2
123,No,0,1,30.343429,0.56647235,2,3,2,1
124,Yes,0,1,35.1961842,-1.6845501,2,2,2,1
125,Yes,0,1,21.1269756,-0.3858833,2,1,2,2
127,No,0,1,33.8632849,0.2201612,1,2,2,2
128,No,0,2,29.5974276,1.25909466,2,4,3,2
130,Yes,0,3,40.4287174,-1.2516612,2,2,3,2
132,Yes,0,3,34.8632233,-0.4724611,1,2,3,1
134,No,0,1,22.3464018,-0.2127277,2,3,4,1
135,No,0,3,23.496205,1.60540581,2,3,1,1
139,No,0,3,27.959224,-0.3858833,2,2,1,2
140,Yes,0,1,19.2438771,1.17251687,2,3,3,1
142,No,0,3,27.1585766,1.6919836,2,1,2,1
143,No,0,2,32.1451101,-1.5979723,2,1,4,2
145,No,0,3,36.5129029,0.2201612,1,2,4,2
147,Yes,0,1,31.849749,0.39331678,1,3,2,2
148,No,0,0,33.3005927,-1.1650834,1,3,1,2
150,Yes,0,2,29.355581,-0.0395722,1,3,3,2
154,Yes,0,1,27.1380045,-1.5979723,2,3,3,2
155,Yes,0,2,24.5371513,-0.0395722,2,3,4,2
159,Yes,0,1,29.8263639,0.91278351,2,2,2,2
161,Yes,0,3,31.5165303,0.47989457,2,3,1,2
162,Yes,1,1,33.0305618,-0.7321945,2,1,1,1
163,Yes,0,1,16.4209112,0.82620572,2,3,4,1
164,No,0,3,17.7464839,1.17251687,2,2,2,2
165,Yes,0,1,19.2940257,-0.8187723,2,3,2,1
166,No,0,2,36.1425759,-0.4724611,2,2,4,2
167,Yes,0,3,32.8316756,-0.7321945,2,3,2,2
168,Yes,0,1,30.1331267,-0.9919278,2,3,3,2
171,Yes,0,2,27.2188994,-0.8187723,2,2,1,1
174,Yes,0,1,40.4395051,0.47989457,2,3,1,2
175,Yes,0,1,30.1764516,-1.1650834,2,2,2,1
176,Yes,0,2,23.6874938,1.25909466,2,2,2,1
177,Yes,0,2,27.0376991,-1.2516612,2,3,2,2
178,No,0,3,35.5625805,0.73962793,1,3,1,2
179,No,0,1,29.2319995,-0.2127277,2,2,1,2
181,No,0,2,26.4342728,0.04700562,2,3,3,2
183,Yes,0,3,32.6612609,-0.5590389,1,3,4,1
184,No,0,3,32.7914449,0.73962793,2,2,3,2
185,Yes,0,2,17.860584,0.91278351,2,3,1,2
186,No,0,0,37.7331016,-0.7321945,2,4,2,2
187,Yes,0,0,24.6237943,0.91278351,2,1,2,1
189,No,0,2,33.0314695,0.13358341,2,2,4,1
191,No,0,1,29.0486001,-1.338239,2,3,3,1
193,Yes,0,1,19.7481527,1.25909466,1,2,1,2
194,No,0,1,40.1371279,1.60540581,2,2,2,2
195,Yes,0,0,30.74041,-1.338239,2,2,3,2
197,No,0,2,38.7780255,-0.5590389,2,1,1,2
198,Yes,0,2,32.8825175,0.2201612,2,3,2,2
199,Yes,0,3,28.5123225,1.25909466,2,3,3,1
200,No,0,3,25.9259997,1.60540581,2,3,4,1
202,No,0,2,27.176721,-1.0785056,2,4,4,1
204,Yes,0,1,37.9105592,-0.7321945,1,3,1,2
205,Yes,0,2,22.3363139,1.43225023,1,2,2,2
206,No,0,3,40.6184313,1.6919836,1,2,4,1
207,No,0,3,26.7771714,-0.7321945,2,2,3,1
208,No,0,3,31.1351673,0.2201612,1,1,3,1
210,No,0,1,35.4907447,-0.4724611,2,1,3,2
212,No,0,2,37.9327512,0.91278351,1,2,4,2
213,Yes,0,0,25.4461775,1.60540581,2,3,1,2
214,Yes,0,0,28.9872853,-0.8187723,2,1,2,1
217,Yes,0,0,25.8328417,1.6919836,1,3,3,2
218,Yes,0,1,29.7294606,-0.3858833,2,3,1,2
220,Yes,0,3,34.8366111,1.43225023,2,1,1,2
222,No,0,1,34.0182289,1.17251687,2,2,2,2
223,Yes,0,3,36.7768636,-1.338239,2,2,1,2
225,Yes,0,2,31.4401971,1.60540581,1,2,2,2
226,No,0,2,29.2551472,-1.6845501,2,2,4,2
232,Yes,0,1,23.4400282,1.43225023,2,1,4,1
233,Yes,0,3,40.2825587,1.17251687,2,2,3,1
234,Yes,0,3,33.0142379,0.91278351,1,3,2,2
237,No,0,1,33.6041672,1.51882802,2,2,2,2
241,No,0,2,36.0706085,-1.5979723,2,3,3,1
242,Yes,0,1,27.6121557,1.6919836,1,3,1,1
243,Yes,0,2,27.4110644,1.43225023,2,1,2,2
245,Yes,0,3,38.5573046,-1.4248168,2,2,3,2
246,No,0,1,41.240736,0.99936129,2,1,2,1
247,Yes,0,2,31.9904481,-0.5590389,1,1,2,1
248,Yes,0,0,28.2554324,1.34567245,2,2,1,2
250,Yes,0,0,33.0202521,-0.7321945,2,3,2,2
251,Yes,0,3,32.190671,1.25909466,1,2,3,2
253,No,0,1,36.6411226,-1.5113946,1,3,4,1
254,Yes,0,2,26.2302583,-1.5113946,2,3,3,2
257,No,0,0,34.2521399,1.51882802,2,2,4,2
258,Yes,0,1,36.4468325,-0.90535,1,4,2,2
259,No,0,2,31.715584,-0.3858833,2,2,1,2
260,No,0,1,25.1651645,1.51882802,2,2,2,2
261,Yes,0,1,31.0203386,0.47989457,2,3,2,2
264,Yes,0,1,23.5579166,1.17251687,1,2,3,1
265,Yes,0,0,30.5480879,-1.338239,2,1,3,1
266,Yes,0,2,24.8304494,-0.12615,2,1,4,2
267,No,0,2,34.5430578,-0.12615,2,3,1,2
269,No,0,2,37.0585506,0.04700562,2,3,1,2
271,No,0,1,25.3820287,-0.12615,1,2,2,1
272,No,0,1,23.632048,0.39331678,2,3,3,2
273,Yes,0,1,14.0810245,-0.0395722,2,1,4,2
275,Yes,0,2,21.8467744,0.04700562,2,3,4,1
276,No,0,0,19.4311509,0.39331678,2,3,4,2
277,No,0,2,31.8926591,-1.1650834,2,1,4,2
278,No,0,1,32.1539562,-0.12615,2,3,4,1
281,No,0,1,34.8719609,0.2201612,2,2,1,2
284,Yes,0,2,27.5002664,1.43225023,2,2,3,2
285,Yes,0,1,24.3238632,-1.1650834,2,1,2,2
286,No,0,2,33.0501533,-0.2127277,2,1,4,2
287,No,0,2,20.6597257,0.13358341,2,3,3,1
288,Yes,0,1,31.9180986,1.6919836,2,2,4,2
290,Yes,0,1,35.5584147,0.56647235,1,3,2,2
291,Yes,0,0,34.2799463,0.91278351,1,4,4,2
292,No,0,2,31.9428288,-1.4248168,2,3,3,2
294,Yes,0,0,19.2399381,-1.2516612,1,1,2,2
297,No,0,0,30.8691581,-1.338239,1,3,1,2
298,Yes,0,2,36.772122,0.2201612,2,3,4,2
300,No,0,2,37.5589823,-0.8187723,2,1,3,1
301,No,0,2,36.002513,-0.8187723,1,3,2,1
302,Yes,0,2,35.7708535,0.73962793,2,2,3,2
303,No,0,2,28.4916283,0.56647235,2,2,3,2
304,No,0,1,26.2137823,0.82620572,2,2,1,2
309,Yes,0,1,33.0942343,0.2201612,2,3,2,1
310,Yes,0,1,30.3657146,0.39331678,1,2,2,2
311,Yes,0,2,26.8355,-1.5979723,1,2,3,2
313,No,0,1,34.926798,1.6919836,2,2,3,1
317,Yes,0,2,27.6985036,-0.9919278,1,3,4,1
318,Yes,0,3,21.0343441,0.13358341,2,3,2,1
319,No,0,2,30.2453092,0.99936129,2,1,4,1
320,Yes,0,1,25.5929485,-1.2516612,1,2,1,2
322,No,0,3,25.4265496,-0.8187723,1,4,3,1
323,Yes,0,2,28.4206873,-1.5979723,1,4,2,1
326,Yes,0,1,29.7980552,-1.6845501,2,3,3,2
329,Yes,0,1,29.4081944,-0.9919278,1,3,4,1
330,No,0,2,31.0420026,1.60540581,1,2,1,2
331,No,0,2,23.7830342,-0.6456167,2,1,2,1
334,Yes,0,3,23.1133366,-1.5113946,1,1,4,2
335,No,0,1,33.0796319,-0.4724611,2,2,3,2
339,No,0,2,26.7651256,1.25909466,1,3,2,1
340,Yes,0,1,35.043326,-0.2993055,1,3,1,2
341,Yes,0,1,33.2095679,-1.1650834,2,2,1,2
342,No,0,1,36.0327963,-1.338239,2,2,3,2
343,Yes,0,3,17.4154533,0.2201612,2,2,3,2
345,No,0,2,32.3748745,0.04700562,2,3,3,2
347,No,0,1,27.3102726,-0.8187723,2,2,1,2
348,No,0,2,31.7989607,-0.0395722,2,1,2,2
353,No,0,3,36.1825643,0.2201612,2,3,1,2
354,Yes,0,1,29.1057913,1.6919836,1,3,2,2
355,Yes,0,0,26.3903695,-0.2127277,2,3,1,1
356,No,0,2,28.81102,-1.1650834,2,4,2,2
359,Yes,0,3,29.1638533,-1.5113946,2,3,1,1
362,Yes,0,1,31.8020049,0.99936129,2,3,1,1
364,No,0,2,30.610169,1.08593908,2,2,4,2
365,No,0,2,34.9837493,1.17251687,2,2,2,2
367,Yes,0,1,30.7753268,0.04700562,2,2,4,2
368,Yes,0,3,29.6329499,-0.0395722,2,2,2,2
370,Yes,0,2,32.909748,0.39331678,2,3,2,2
371,No,0,1,22.901768,-0.0395722,2,3,1,1
373,Yes,0,3,42.4659082,1.34567245,2,4,4,2
374,Yes,0,3,36.3810236,-1.1650834,2,3,1,2
375,No,0,3,25.0557514,-0.2993055,2,2,2,2
376,No,0,2,41.8398016,-0.2127277,2,2,1,1
377,No,0,1,32.0385329,-1.5979723,2,3,2,2
379,Yes,0,3,30.4035036,-1.1650834,1,4,3,2
380,No,0,2,29.9130724,0.47989457,1,1,4,2
381,No,0,3,32.4057121,-1.2516612,2,1,4,1
382,Yes,0,2,32.6819512,-1.0785056,1,1,2,1
383,Yes,0,2,25.832076,-0.5590389,2,2,4,2
385,No,0,1,23.7082487,0.30673899,1,2,2,2
386,Yes,0,1,26.7263518,-0.5590389,2,2,1,2
387,Yes,0,3,34.1986745,-0.12615,1,2,2,2
388,No,0,1,38.2413683,0.47989457,2,2,3,1
389,No,0,3,28.2564625,1.34567245,2,2,4,2
390,No,0,0,24.445772,0.91278351,2,1,2,1
392,Yes,0,3,28.7995538,-1.1650834,2,1,3,1
393,Yes,0,2,28.4736524,-0.7321945,2,2,4,2
394,No,0,3,30.7596654,-0.8187723,2,3,2,1
395,No,0,1,39.293226,0.91278351,2,2,3,1
396,Yes,0,1,30.0881021,0.13358341,1,3,2,2
397,No,0,0,32.0997617,1.60540581,2,3,3,2
398,Yes,0,2,28.9886496,0.56647235,1,1,4,1
399,Yes,0,3,36.2655608,1.25909466,2,2,1,2
400,Yes,0,0,35.3100771,0.04700562,2,3,3,2
401,Yes,0,2,24.863837,-0.9919278,2,3,1,2
402,No,0,2,31.0251657,-0.2993055,1,2,1,2
404,No,0,0,34.1806531,-0.4724611,2,4,2,1
405,Yes,0,2,31.5297863,-0.5590389,2,2,4,2
407,No,0,3,30.9517835,1.17251687,2,3,3,1
408,Yes,0,1,24.0328992,0.56647235,2,4,4,2
409,No,0,2,26.9344823,0.73962793,1,2,1,2
411,No,0,2,34.4243236,-1.5113946,1,3,4,1
412,Yes,0,1,33.2562055,1.6919836,2,2,1,2
413,Yes,0,2,26.7118713,-1.1650834,1,4,2,2
414,Yes,0,1,24.1695301,0.30673899,1,3,4,1
417,No,0,2,33.7813815,0.56647235,2,3,4,1
418,Yes,0,2,22.538608,0.73962793,2,2,1,2
421,Yes,0,1,28.9771631,-1.6845501,2,4,2,1
423,Yes,0,2,33.0111366,-0.12615,1,2,1,1
424,No,0,1,23.2528676,-1.338239,2,4,4,2
426,Yes,0,1,25.6337201,-0.2127277,1,3,3,2
427,Yes,0,2,28.8966823,-1.4248168,2,1,4,2
428,No,0,0,27.7396438,-1.1650834,1,3,2,1
429,Yes,0,2,28.968023,1.17251687,1,3,2,2
430,No,0,1,22.3364924,-0.8187723,2,2,1,1
432,No,0,3,35.8116121,1.6919836,2,1,1,2
435,No,0,2,34.7802303,0.65305014,2,3,2,2
436,Yes,0,2,29.1259061,0.91278351,2,3,4,2
438,No,0,1,29.7727509,-0.90535,2,2,3,2
440,No,0,1,28.3418515,-0.5590389,1,2,4,2
441,Yes,0,1,26.7505193,1.6919836,2,2,4,2
443,No,0,2,28.8027154,1.43225023,2,2,4,2
444,No,0,2,36.2869426,-0.4724611,1,2,3,2
446,No,0,2,22.7357188,-0.90535,2,3,4,2
447,Yes,0,3,31.4311102,-0.6456167,2,2,3,2
448,No,0,3,31.3437254,-0.5590389,1,1,2,2
449,Yes,0,0,28.6988723,0.91278351,1,2,4,2
452,No,0,1,31.4885187,-0.2993055,2,1,2,2
453,Yes,0,3,24.8891591,1.6919836,2,2,3,2
454,No,0,2,35.9330895,-0.7321945,1,3,4,2
455,No,0,3,34.7724963,-1.338239,2,2,1,2
456,No,0,0,22.904436,1.60540581,1,1,1,2
458,No,0,1,30.542096,-0.4724611,2,2,4,2
459,No,0,2,31.6538907,1.34567245,2,2,3,1
463,No,0,2,31.7985118,-0.2127277,2,3,4,1
464,No,0,1,29.738629,1.08593908,1,3,1,2
465,No,0,2,29.9731196,0.73962793,2,1,4,2
467,No,0,1,26.6257128,0.13358341,1,3,2,2
470,Yes,0,1,26.0756376,0.99936129,2,3,2,1
471,Yes,0,1,25.0109419,0.47989457,2,4,2,1
472,Yes,0,2,30.0685854,-0.90535,2,2,2,2
473,No,0,2,34.6493958,0.82620572,2,2,1,1
475,No,0,1,25.8906148,0.13358341,1,1,1,1
477,Yes,0,1,23.5797705,1.51882802,2,3,3,1
478,No,0,3,26.7577623,-1.5979723,2,3,3,2
479,Yes,0,1,31.0838511,1.34567245,1,3,2,1
480,Yes,0,1,32.9025477,-0.2993055,1,3,2,1
482,No,0,1,38.592575,-0.4724611,1,3,3,2
486,Yes,0,3,31.8956672,1.34567245,1,1,2,1
487,Yes,0,1,33.3552542,-1.6845501,1,2,4,1
488,No,0,2,33.2556934,1.6919836,1,2,3,2
490,Yes,0,3,35.7977721,0.56647235,2,3,4,1
491,Yes,0,2,29.4957009,1.43225023,2,1,1,1
492,No,0,3,24.7453032,-1.4248168,1,1,3,2
493,No,0,1,26.0684692,-0.2993055,1,2,1,1
495,No,0,2,23.3046083,1.60540581,2,1,1,2
497,Yes,0,2,35.2021881,1.08593908,2,1,4,1
498,No,0,2,27.9715018,0.30673899,2,3,3,2
