condition,time
0,5940
0,666
1,571
1,779
0,1928
0,3791
0,736
1,8482
0,4594
0,1171
1,3061
0,1178
1,5210
0,1498
0,8305
1,1731
1,485
1,2455
1,3144
1,7865
0,8132
1,1302
0,3144
0,3689
1,1784
0,2567
1,2543
1,3508
0,1047
1,3793
1,515
1,1035
0,4367
1,2664
0,1464
0,5470
1,1520
1,1752
0,3406
1,1801
0,2033
0,2703
0,1097
1,1320
0,2406
1,6467
0,3864
1,1191
1,2983
1,1134
1,2828
1,1564
0,454
0,5455
1,6835
1,279
0,1711
0,550
0,574
0,6380
1,8493
1,1376
0,1795
1,1711
1,3361
1,7463
0,4762
1,1271
1,2487
0,1022
0,777
1,1625
1,1438
0,2057
1,3809
1,1044
1,6726
0,3495
1,3115
1,2015
0,1185
1,3153
1,2817
1,843
1,3790
1,2182
1,3760
0,1077
0,2032
0,3323
0,9198
0,5657
1,1778
0,1235
1,384
0,2352
1,512
0,2096
0,292
0,464
1,443
1,1950
1,1641
0,1312
0,8859
1,1229
0,7485
1,1675
0,5136
0,2131
0,1877
1,2500
1,1309
0,3148
0,1918
1,1806
1,4313
1,630
0,1095
0,3775
0,2116
1,833
1,377
1,391
1,5198
0,556
0,8516
0,1159
0,7695
1,2016
1,1903
1,1111
0,493
1,2335
1,872
1,804
1,2721
1,1403
0,816
1,241
1,1569
0,2243
1,1278
0,1117
0,1845
1,2119
0,1852
0,832
0,5574
1,2190
1,1899
0,2999
0,1641
1,3310
1,107
0,6273
1,7772
0,2069
1,1399
1,1950
0,1431
1,2396
0,1335
1,5038
0,1257
1,1545
1,4052
0,1975
0,699
0,914
0,5509
0,1392
1,2802
1,3106
0,1209
1,1816
1,8746
1,3992
1,3629
0,1581
1,7541
0,2270
1,790
0,1119
0,1383
1,2397
0,6950
0,2086
0,3623
0,1739
1,1149
0,762
1,1315
1,1265
1,4040
1,1107
0,351
0,3178
1,1392
0,1833
1,3004
0,1343
0,1329
0,1712
0,1876
1,1624
0,5971
1,3858
0,1643
0,5841
1,1062
0,9238
1,612
1,2420
1,886
1,3117
0,4046
0,2475
1,1441
0,5385
0,1638
1,1840
0,1062
1,5738
1,110
1,1409
1,2516
0,2967
0,805
0,1108
1,1198
1,2430
1,2132
1,1068
1,2111
0,1387
1,2235
1,1550
1,1516
1,1138
1,1615
1,4059
1,1445
0,814
0,3074
0,7805
1,3688
0,7211
0,3974
0,8871
1,956
1,735
0,1289
0,4723
0,3343
0,2029
0,2029
1,5428
1,1782
0,858
0,3061
1,2972
1,2607
0,1699
0,422
1,1413
1,2503
1,2434
1,2876
